Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5079	56	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5207	66	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5147	63	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5209	63	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5203	67	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5151	57	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5067	55	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5164	75	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5111	67	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity100_cov1.00	5152	57	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3590	1545	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3657	1616	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3723	1487	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3735	1537	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3655	1615	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3620	1588	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3549	1573	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3633	1606	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3662	1516	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.85	3705	1504	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3702	1433	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3754	1519	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3804	1406	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3844	1428	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3753	1517	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3718	1490	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3663	1459	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3742	1497	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3777	1401	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.90	3791	1418	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3804	1331	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3866	1407	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3935	1275	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3928	1344	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3874	1396	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3829	1379	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3773	1349	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3866	1373	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3881	1297	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity90_cov0.95	3889	1320	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4451	684	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4575	698	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4568	642	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4597	675	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4570	700	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4510	698	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4440	682	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4554	685	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4532	646	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity95_cov0.95	4510	699	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4667	468	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4800	473	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4747	463	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4793	479	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4779	491	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4726	482	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4634	488	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4752	487	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4744	434	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.95	4729	480	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4673	462	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4805	468	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4755	455	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4801	471	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4787	483	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4729	479	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4639	483	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4758	481	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4757	421	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.97	4737	472	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4696	439	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4833	440	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4773	437	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4823	449	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4821	449	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4759	449	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4662	460	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4785	454	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4773	405	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity97_cov0.99	4763	446	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4808	327	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4922	351	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4883	327	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4933	339	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4948	322	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4877	331	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4793	329	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4907	332	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4876	302	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity98_cov0.98	4871	338	5209
family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	4941	194	5135	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5084	189	5273	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5025	185	5210	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5079	193	5272	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5081	189	5270	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5008	200	5208	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	4928	194	5122	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5045	194	5239	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	4998	180	5178	family-unclassified_MinLen_V1V3_BLCA_out_identity99_cov0.99	5012	197	5209
