Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5057	78	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5204	69	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5135	75	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5177	95	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5198	72	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5132	76	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5034	88	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5168	71	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5091	87	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity100_cov1.00	5157	52	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1465	3670	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1497	3776	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1515	3695	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1525	3747	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1542	3728	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1461	3747	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1503	3619	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1492	3747	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1480	3698	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.85	1561	3648	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1519	3616	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1558	3715	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1589	3621	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1608	3664	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1605	3665	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1539	3669	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1569	3553	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1560	3679	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1563	3615	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.90	1636	3573	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1724	3411	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1755	3518	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1817	3393	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1799	3473	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1813	3457	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1747	3461	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1749	3373	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1775	3464	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1761	3417	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity90_cov0.95	1832	3377	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3712	1423	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3808	1465	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3834	1376	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3820	1452	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3767	1503	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3787	1421	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3717	1405	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3789	1450	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3776	1402	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity95_cov0.95	3856	1353	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4349	786	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4423	850	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4465	745	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4472	800	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4459	811	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4420	788	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4334	788	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4431	808	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4415	763	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.95	4470	739	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4388	747	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4465	808	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4493	717	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4501	771	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4506	764	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4457	751	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4370	752	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4463	776	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4458	720	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.97	4513	696	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4438	697	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4530	743	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4538	672	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4562	710	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4561	709	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4511	697	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4429	693	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4527	712	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4513	665	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity97_cov0.99	4557	652	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4640	495	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4731	542	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4714	496	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4751	521	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4748	522	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4699	509	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4601	521	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4714	525	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4694	484	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity98_cov0.98	4722	487	5209
family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4819	316	5135	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4933	340	5273	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4903	307	5210	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4960	312	5272	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4949	321	5270	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4880	328	5208	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4796	326	5122	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4924	315	5239	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4881	297	5178	family-unclassified_MinLen_V1V3_reverse_BLCA_out_identity99_cov0.99	4902	307	5209
