Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount	Accession	Unclassified	Classified	TotalCount
family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5120	15	5135	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5256	17	5273	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5192	18	5210	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5251	21	5272	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5256	14	5270	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5187	21	5208	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5111	11	5122	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5217	22	5239	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5157	21	5178	family-unclassified_V1V3_BLCA_out_identity100_cov1.00	5200	9	5209
family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3117	2018	5135	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3184	2089	5273	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3210	2000	5210	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3200	2072	5272	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3146	2124	5270	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3139	2069	5208	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3105	2017	5122	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3133	2106	5239	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3141	2037	5178	family-unclassified_V1V3_BLCA_out_identity90_cov0.85	3218	1991	5209
family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3247	1888	5135	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3304	1969	5273	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3370	1840	5210	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3350	1922	5272	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3294	1976	5270	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3261	1947	5208	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3244	1878	5122	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3288	1951	5239	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3284	1894	5178	family-unclassified_V1V3_BLCA_out_identity90_cov0.90	3368	1841	5209
family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3321	1814	5135	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3369	1904	5273	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3439	1771	5210	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3433	1839	5272	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3385	1885	5270	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3353	1855	5208	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3322	1800	5122	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3375	1864	5239	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3360	1818	5178	family-unclassified_V1V3_BLCA_out_identity90_cov0.95	3432	1777	5209
family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4385	750	5135	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4491	782	5273	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4496	714	5210	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4517	755	5272	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4504	766	5270	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4432	776	5208	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4376	746	5122	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4498	741	5239	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4475	703	5178	family-unclassified_V1V3_BLCA_out_identity95_cov0.95	4493	716	5209
family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4694	441	5135	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4809	464	5273	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4762	448	5210	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4826	446	5272	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4775	495	5270	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4733	475	5208	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4660	462	5122	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4774	465	5239	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4753	425	5178	family-unclassified_V1V3_BLCA_out_identity97_cov0.95	4768	441	5209
family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4739	396	5135	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4852	421	5273	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4816	394	5210	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4865	407	5272	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4830	440	5270	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4784	424	5208	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4703	419	5122	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4824	415	5239	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4793	385	5178	family-unclassified_V1V3_BLCA_out_identity97_cov0.97	4802	407	5209
family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4760	375	5135	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4880	393	5273	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4840	370	5210	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4885	387	5272	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4857	413	5270	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4802	406	5208	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4724	398	5122	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4853	386	5239	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4811	367	5178	family-unclassified_V1V3_BLCA_out_identity97_cov0.99	4823	386	5209
family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4844	291	5135	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4971	302	5273	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4943	267	5210	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4981	291	5272	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4961	309	5270	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4897	311	5208	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4809	313	5122	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4943	296	5239	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4909	269	5178	family-unclassified_V1V3_BLCA_out_identity98_cov0.98	4920	289	5209
family-unclassified_V1V3_BLCA_out_identity99_cov0.99	4999	136	5135	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5127	146	5273	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5089	121	5210	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5134	138	5272	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5141	129	5270	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5061	147	5208	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	4981	141	5122	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5108	131	5239	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5051	127	5178	family-unclassified_V1V3_BLCA_out_identity99_cov0.99	5089	120	5209
family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3546	43	3589	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3568	39	3607	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3554	49	3603	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3571	32	3603	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3611	37	3648	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3475	36	3511	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3532	43	3575	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3573	34	3607	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3587	36	3623	family-unclassified_V3V5_BLCA_out_identity100_cov1.00	3458	32	3490
family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1546	2043	3589	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1541	2066	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1595	2008	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1520	2083	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1539	2109	3648	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1491	2020	3511	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1519	2056	3575	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1489	2118	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1556	2067	3623	family-unclassified_V3V5_BLCA_out_identity90_cov0.85	1552	1938	3490
family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1548	2041	3589	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1544	2063	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1604	1999	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1530	2073	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1544	2104	3648	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1497	2014	3511	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1520	2055	3575	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1491	2116	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1562	2061	3623	family-unclassified_V3V5_BLCA_out_identity90_cov0.90	1555	1935	3490
family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1550	2039	3589	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1547	2060	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1607	1996	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1532	2071	3603	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1547	2101	3648	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1500	2011	3511	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1522	2053	3575	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1493	2114	3607	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1562	2061	3623	family-unclassified_V3V5_BLCA_out_identity90_cov0.95	1555	1935	3490
family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2719	870	3589	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2718	889	3607	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2761	842	3603	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2692	911	3603	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2746	902	3648	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2624	887	3511	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2666	909	3575	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2727	880	3607	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2727	896	3623	family-unclassified_V3V5_BLCA_out_identity95_cov0.95	2666	824	3490
family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3122	467	3589	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3127	480	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3158	445	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3109	494	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3172	476	3648	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3034	477	3511	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3069	506	3575	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3129	478	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3159	464	3623	family-unclassified_V3V5_BLCA_out_identity97_cov0.95	3050	440	3490
family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3125	464	3589	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3132	475	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3164	439	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3117	486	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3173	475	3648	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3037	474	3511	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3074	501	3575	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3132	475	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3166	457	3623	family-unclassified_V3V5_BLCA_out_identity97_cov0.97	3054	436	3490
family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3128	461	3589	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3140	467	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3170	433	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3127	476	3603	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3177	471	3648	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3040	471	3511	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3082	493	3575	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3145	462	3607	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3173	450	3623	family-unclassified_V3V5_BLCA_out_identity97_cov0.99	3058	432	3490
family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3274	315	3589	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3290	317	3607	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3309	294	3603	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3272	331	3603	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3332	316	3648	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3178	333	3511	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3229	346	3575	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3284	323	3607	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3309	314	3623	family-unclassified_V3V5_BLCA_out_identity98_cov0.98	3170	320	3490
family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3392	197	3589	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3403	204	3607	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3399	204	3603	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3410	193	3603	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3462	186	3648	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3297	214	3511	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3364	211	3575	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3405	202	3607	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3430	193	3623	family-unclassified_V3V5_BLCA_out_identity99_cov0.99	3302	188	3490
family-unclassified_V4_BLCA_out_identity100_cov1.00	5401	285	5686	family-unclassified_V4_BLCA_out_identity100_cov1.00	5495	297	5792	family-unclassified_V4_BLCA_out_identity100_cov1.00	5474	300	5774	family-unclassified_V4_BLCA_out_identity100_cov1.00	5470	329	5799	family-unclassified_V4_BLCA_out_identity100_cov1.00	5589	301	5890	family-unclassified_V4_BLCA_out_identity100_cov1.00	5390	296	5686	family-unclassified_V4_BLCA_out_identity100_cov1.00	5492	307	5799	family-unclassified_V4_BLCA_out_identity100_cov1.00	5467	302	5769	family-unclassified_V4_BLCA_out_identity100_cov1.00	5502	288	5790	family-unclassified_V4_BLCA_out_identity100_cov1.00	5403	301	5704
